Last login: Thu Jan 17 10:32:46 on ttys001
next-major $node ./tools/checkingSeatsInGroup
======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252009 || Showtimes: 2019-01-17T11:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252010 || Showtimes: 2019-01-17T14:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252010 || Showtimes: 2019-01-17T14:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252011 || Showtimes: 2019-01-17T17:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252011 || Showtimes: 2019-01-17T17:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252012 || Showtimes: 2019-01-17T20:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252012 || Showtimes: 2019-01-17T20:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252013 || Showtimes: 2019-01-17T23:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252013 || Showtimes: 2019-01-17T23:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252105 || Showtimes: 2019-01-18T11:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
..... AreaCategoryCode: 0000000030 || Area Description: Double Arm Chair
..... SessionId: 252105 || Showtimes: 2019-01-18T11:30:00
..... SeatsInGroup : null
.........
.........
......... row: A
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: B
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
